character,stroke_count
一,1
乙,1
丨,1
丶,1
丿,1
乀,1
乁,1
乚,1
乛,1
亅,1
𠃉,1
𠃊,1
𠃋,1
𠃌,1
𠃍,1
𠃎,1
𠃑,1
𠄌,1
了,2
人,2
力,2
十,2
又,2
二,2
儿,2
入,2
几,2
九,2
八,2
七,2
厂,2
刀,2
乃,2
丁,2
卜,2
匕,2
刁,2
乜,2
匚,2
㐅,2
丂,2
丄,2
丅,2
丆,2
丩,2
丷,2
乂,2
乄,2
亠,2
亻,2
冂,2
冖,2
冫,2
凵,2
刂,2
勹,2
匸,2
卩,2
厶,2
巜,2
廴,2
讠,2
阝,2
力,2
了,2
𠀀,2
𠀁,2
𠀂,2
𠁡,2
𠁢,2
𠂆,2
𠂇,2
𠂈,2
𠂉,2
𠂊,2
𠃏,2
𠃐,2
𠄍,2
𠄎,2
𠄏,2
𠄐,2
𠄞,2
𠄟,2
𠄠,2
𠆢,2
𠘧,2
𠘨,2
𠙴,2
𠚣,2
𠤎,2
𠤬,2
𨙨,2
𨸏,2
龴,2
𪜊,2
个,3
上,3
大,3
也,3
子,3
于,3
下,3
之,3
么,3
小,3
与,3
已,3
工,3
三,3
己,3
门,3
及,3
义,3
口,3
女,3
才,3
山,3
马,3
万,3
飞,3
干,3
士,3
广,3
土,3
千,3
久,3
卫,3
习,3
乡,3
亡,3
凡,3
亿,3
川,3
丈,3
尸,3
亏,3
寸,3
夕,3
弓,3
叉,3
巾,3
乞,3
丸,3
丫,3
刃,3
兀,3
勺,3
巳,3
弋,3
幺,3
孑,3
乇,3
孓,3
尢,3
彡,3
巛,3
㐃,3
㐄,3
㐇,3
㐈,3
㐉,3
㔾,3
㔿,3
丌,3
丬,3
乆,3
乊,3
亇,3
亍,3
亐,3
亼,3
亽,3
亾,3
兦,3
凢,3
凣,3
刄,3
劜,3
卂,3
卄,3
卪,3
囗,3
夂,3
夊,3
夨,3
孒,3
宀,3
屮,3
廾,3
彐,3
彑,3
彳,3
忄,3
扌,3
氵,3
犭,3
纟,3
艹,3
辶,3
饣,3
女,3
兀,3
𠀃,3
𠀄,3
𠀅,3
𠀆,3
𠁼,3
𠁽,3
𠂋,3
𠂌,3
𠂍,3
𠂎,3
𠃒,3
𠃓,3
𠃔,3
𠄑,3
𠆣,3
𠆤,3
𠆥,3
𠓛,3
𠔀,3
𠔇,3
𠔼,3
𠖬,3
𠙵,3
𠚤,3
𠠲,3
𠧒,3
𠫓,3
𠫔,3
𠫕,3
𠫖,3
𡕒,3
𡤼,3
𡭔,3
𡯁,3
𡯂,3
𡰣,3
𡳾,3
𡿦,3
𡿨,3
𢌬,3
𢍺,3
𢎗,3
𢎘,3
𢖩,3
𣱱,3
龵,3
𪜀,3
𪜁,3
𪟨,3
𫝀,3
𫝄,3
不,4
中,4
为,4
以,4
方,4
天,4
分,4
心,4
开,4
从,4
日,4
无,4
长,4
公,4
手,4
文,4
见,4
什,4
月,4
内,4
化,4
比,4
水,4
认,4
气,4
少,4
反,4
太,4
计,4
区,4
队,4
五,4
书,4
王,4
今,4
切,4
风,4
车,4
办,4
元,4
夫,4
火,4
支,4
片,4
六,4
引,4
历,4
专,4
仅,4
巴,4
斗,4
双,4
父,4
友,4
止,4
仍,4
毛,4
云,4
木,4
艺,4
户,4
互,4
介,4
升,4
巨,4
予,4
牙,4
午,4
牛,4
尤,4
贝,4
订,4
币,4
丰,4
瓦,4
厅,4
乌,4
丹,4
孔,4
忆,4
仁,4
凶,4
乏,4
扎,4
幻,4
井,4
允,4
尺,4
氏,4
凤,4
仇,4
劝,4
邓,4
曰,4
韦,4
戈,4
仆,4
斤,4
仓,4
丑,4
匹,4
欠,4
勾,4
冈,4
仑,4
爪,4
厄,4
勿,4
丐,4
犬,4
匀,4
兮,4
屯,4
毋,4
尹,4
歹,4
讥,4
夭,4
亢,4
廿,4
冗,4
壬,4
卅,4
闩,4
仄,4
卞,4
讣,4
爻,4
刈,4
仃,4
亓,4
肀,4
攵,4
殳,4
攴,4
仂,4
仉,4
㐊,4
㐋,4
㐧,4
㓀,4
㓁,4
㓅,4
㔫,4
㔹,4
㕕,4
㕚,4
㕛,4
㝉,4
㞢,4
㠪,4
㢧,4
㲸,4
㸦,4
丏,4
丒,4
丮,4
丯,4
乢,4
乣,4
乤,4
乥,4
亖,4
亣,4
仈,4
仌,4
仏,4
仐,4
仒,4
兂,4
內,4
兯,4
冃,4
冄,4
円,4
冇,4
冘,4
刅,4
勻,4
勼,4
勽,4
匁,4
匂,4
卆,4
卍,4
卐,4
卝,4
卬,4
厃,4
厷,4
厸,4
厹,4
収,4
圠,4
圡,4
夃,4
夬,4
尐,4
尣,4
屲,4
巿,4
帀,4
弌,4
弔,4
弖,4
戶,4
戸,4
旡,4
朩,4
毌,4
灬,4
爫,4
爿,4
牜,4
礻,4
禸,4
罓,4
耂,4
辷,4
邒,4
阞,4
丹,4
不,4
六,4
什,4
切,4
𠀇,4
𠀈,4
𠀉,4
𠀊,4
𠀋,4
𠀌,4
𠁣,4
𠁾,4
𠁿,4
𠂏,4
𠂐,4
𠂑,4
𠂒,4
𠂓,4
𠃕,4
𠃖,4
𠃗,4
𠃘,4
𠃙,4
𠃚,4
𠃛,4
𠃜,4
𠃝,4
𠄒,4
𠄓,4
𠄔,4
𠄡,4
𠅁,4
𠆦,4
𠆧,4
𠆨,4
𠑶,4
𠓜,4
𠓝,4
𠓞,4
𠔁,4
𠔂,4
𠔃,4
𠔄,4
𠔽,4
𠔾,4
𠔿,4
𠕀,4
𠕳,4
𠕴,4
𠖭,4
𠘩,4
𠘪,4
𠘫,4
𠘬,4
𠘭,4
𠘮,4
𠘯,4
𠘰,4
𠙶,4
𠙷,4
𠙸,4
𠚥,4
𠚦,4
𠚧,4
𠚨,4
𠚩,4
𠚪,4
𠚫,4
𠚬,4
𠠳,4
𠠴,4
𠠵,4
𠣌,4
𠤏,4
𠤭,4
𠥭,4
𠥻,4
𠥼,4
𠥿,4
𠨍,4
𠨎,4
𠨏,4
𠨐,4
𠨬,4
𠫗,4
𠫘,4
𠬚,4
𠬛,4
𠬜,4
𠬝,4
𠬞,4
𠬟,4
𠬠,4
𠮙,4
𠮚,4
𠮛,4
𠮜,4
𠮝,4
𠮞,4
𡆠,4
𡆡,4
𡆢,4
𡈼,4
𡈽,4
𡈾,4
𡗒,4
𡗓,4
𡗔,4
𡗜,4
𡚦,4
𡤽,4
𡦹,4
𡬝,4
𡭕,4
𡭖,4
𡯃,4
𡴭,4
𡴮,4
𡴯,4
𡿧,4
𢀑,4
𢀒,4
𢀓,4
𢀔,4
𢀕,4
𢀳,4
𢆯,4
𢆰,4
𢆱,4
𢌗,4
𢌭,4
𢍻,4
𢍼,4
𢎙,4
𢎚,4
𢎛,4
𢎜,4
𢎝,4
𢎞,4
𢎟,4
𢎠,4
𢎡,4
𢒼,4
𢒽,4
𢖪,4
𢩥,4
𢩦,4
𢩧,4
𣁬,4
𣂑,4
𣎳,4
𣎴,4
𣥂,4
𣦵,4
𣦶,4
𣫬,4
𣬛,4
𣱲,4
𣱳,4
𣱴,4
𤓯,4
𤓰,4
𤕪,4
𤜚,4
𤣩,4
𥘅,4
𨙩,4
𨙪,4
𨸐,4
𨸑,4
𨸒,4
𨸓,4
𨸔,4
𨸕,4
龰,4
龶,4
𪜂,4
𪜈,4
𪜧,4
𪟽,4
𪠣,4
𪠤,4
𪥁,4
𫄙,4
𫐞,4
他,5
们,5
出,5
可,5
对,5
生,5
发,5
用,5
去,5
主,5
本,5
只,5
它,5
民,5
正,5
业,5
外,5
由,5
头,5
加,5
代,5
世,5
东,5
立,5
处,5
平,5
尔,5
打,5
四,5
电,5
目,5
务,5
必,5
市,5
司,5
白,5
且,5
记,5
北,5
边,5
术,5
让,5
议,5
失,5
令,5
布,5
未,5
叫,5
台,5
击,5
石,5
示,5
写,5
功,5
包,5
史,5
乎,5
号,5
另,5
古,5
半,5
节,5
母,5
乐,5
印,5
兰,5
尼,5
龙,5
句,5
汉,5
卡,5
占,5
皮,5
犯,5
田,5
左,5
右,5
央,5
付,5
讨,5
永,5
旧,5
叶,5
礼,5
归,5
灭,5
圣,5
玉,5
宁,5
训,5
丝,5
兄,5
甲,5
申,5
闪,5
末,5
汇,5
召,5
巧,5
讯,5
刊,5
仙,5
弗,5
鸟,5
奶,5
仪,5
艾,5
叹,5
旦,5
厉,5
冬,5
奴,5
甘,5
矛,5
扑,5
册,5
仔,5
幼,5
匆,5
丛,5
卢,5
仗,5
玄,5
冯,5
纠,5
瓜,5
斥,5
帅,5
扔,5
丘,5
穴,5
辽,5
孕,5
饥,5
汁,5
囚,5
甩,5
叮,5
弘,5
丙,5
叭,5
矢,5
叨,5
凸,5
凹,5
叩,5
乍,5
仕,5
冉,5
扒,5
汀,5
叱,5
叽,5
札,5
轧,5
卉,5
驭,5
禾,5
讪,5
戊,5
叼,5
丕,5
皿,5
卯,5
邙,5
匝,5
叵,5
氐,5
刍,5
讫,5
弁,5
夯,5
艿,5
邝,5
仨,5
邛,5
阡,5
讦,5
讧,5
卟,5
卮,5
仟,5
仞,5
宄,5
钅,5
劢,5
艽,5
庀,5
仫,5
仡,5
尕,5
尻,5
叻,5
忉,5
戋,5
犰,5
邗,5
仝,5
辻,5
氕,5
讬,5
込,5
讱,5
邘,5
肊,5
阢,5
阤,5
饤,5
艼,5
邔,5
㐀,5
㐌,5
㐍,5
㐎,5
㐏,5
㐰,5
㐱,5
㐲,5
㐳,5
㐴,5
㐵,5
㐶,5
㐷,5
㒰,5
㒱,5
㓚,5
㓛,5
㓜,5
㔓,5
㕣,5
㕤,5
㕥,5
㘝,5
㘞,5
㘦,5
㚈,5
㚎,5
㚢,5
㝊,5
㝋,5
㝳,5
㞋,5
㞤,5
㞥,5
㞦,5
㞧,5
㠯,5
㠲,5
㠳,5
㣔,5
㣺,5
㧃,5
㧄,5
㧅,5
㲹,5
㲺,5
㲼,5
䍏,5
䢳,5
䦹,5
䦺,5
丗,5
丱,5
丼,5
乧,5
亗,5
仚,5
仛,5
仜,5
仠,5
仢,5
仦,5
仧,5
仩,5
仭,5
仺,5
伋,5
冊,5
冋,5
冎,5
冚,5
冭,5
冮,5
凥,5
処,5
凧,5
凷,5
刉,5
刋,5
刌,5
匃,5
匄,5
匇,5
匛,5
匜,5
匞,5
卌,5
卭,5
厇,5
厈,5
厺,5
厼,5
叏,5
叐,5
叧,5
叴,5
叺,5
叾,5
囘,5
囙,5
囜,5
圢,5
圤,5
圥,5
圦,5
圧,5
壭,5
夗,5
夘,5
夰,5
夲,5
夳,5
奵,5
宂,5
尒,5
尓,5
屳,5
屴,5
屵,5
屶,5
屷,5
帄,5
庁,5
庂,5
広,5
廵,5
弍,5
忇,5
忊,5
戉,5
戹,5
扏,5
扐,5
払,5
扖,5
曱,5
朮,5
朰,5
歺,5
氶,5
氷,5
氹,5
氺,5
氻,5
氾,5
氿,5
汃,5
汄,5
汅,5
汈,5
犮,5
玊,5
玌,5
玍,5
甴,5
疋,5
疒,5
癶,5
罒,5
艻,5
芀,5
芁,5
衤,5
辸,5
辺,5
邖,5
邚,5
邜,5
阠,5
阣,5
句,5
北,5
令,5
立,5
𠀍,5
𠀎,5
𠀏,5
𠀐,5
𠀑,5
𠀒,5
𠀓,5
𠀔,5
𠀕,5
𠀖,5
𠀗,5
𠁤,5
𠁥,5
𠂀,5
𠂁,5
𠂔,5
𠂕,5
𠂖,5
𠂗,5
𠂘,5
𠂙,5
𠂚,5
𠂛,5
𠂜,5
𠂝,5
𠂞,5
𠂟,5
𠂠,5
𠂡,5
𠃞,5
𠃟,5
𠃠,5
𠃡,5
𠃢,5
𠃣,5
𠅂,5
𠆩,5
𠆪,5
𠆫,5
𠆬,5
𠆭,5
𠆮,5
𠆯,5
𠆰,5
𠆱,5
𠆲,5
𠆳,5
𠑷,5
𠑸,5
𠓟,5
𠔅,5
𠔆,5
𠕁,5
𠕂,5
𠕃,5
𠕄,5
𠕅,5
𠕆,5
𠕇,5
𠕈,5
𠕉,5
𠕊,5
𠕵,5
𠕶,5
𠕷,5
𠕸,5
𠖮,5
𠖯,5
𠖰,5
𠘱,5
𠘲,5
𠘳,5
𠘴,5
𠙹,5
𠙺,5
𠙻,5
𠙼,5
𠙽,5
𠚭,5
𠚮,5
𠚯,5
𠚰,5
𠚱,5
𠚲,5
𠚳,5
𠚴,5
𠚶,5
𠚻,5
𠠶,5
𠠷,5
𠠸,5
𠣍,5
𠣎,5
𠣏,5
𠣐,5
𠤐,5
𠥽,5
𠥾,5
𠦀,5
𠦁,5
𠧓,5
𠨑,5
𠨭,5
𠨮,5
𠨯,5
𠨰,5
𠨱,5
𠨲,5
𠨳,5
𠫙,5
𠫚,5
𠫛,5
𠫜,5
𠫝,5
𠬡,5
𠬢,5
𠬣,5
𠬤,5
𠬥,5
𠬦,5
𠬧,5
𠬨,5
𠮟,5
𠮠,5
𠮡,5
𠮢,5
𠮣,5
𠮤,5
𠮥,5
𠮦,5
𠮧,5
𠮨,5
𠮩,5
𠮪,5
𡆣,5
𡆤,5
𡆥,5
𡆦,5
𡈿,5
𡉀,5
𡉁,5
𡉂,5
𡉃,5
𡉄,5
𡉅,5
𡉆,5
𡉇,5
𡔛,5
𡕓,5
